Season,Round,Constructor-Position,Constrcutor,Nation,Points,Wins
2006,2,1,Renault,French,28,2
2006,2,2,Ferrari,Italian,15,0
2006,2,3,McLaren,British,15,0
2006,2,4,Honda,Japanese,11,0
2006,2,5,Williams,British,5,0
2006,2,6,BMW Sauber,German,2,0
2006,2,7,Toyota,Japanese,1,0
2006,2,8,Red Bull,Austrian,1,0
2006,2,9,Toro Rosso,Italian,0,0
2006,2,10,MF1,Russian,0,0
2006,2,11,Super Aguri,Japanese,0,0
2006,5,1,Renault,French,62,3
2006,5,2,Ferrari,Italian,46,2
2006,5,3,McLaren,British,38,0
2006,5,4,Honda,Japanese,19,0
2006,5,5,BMW Sauber,German,11,0
2006,5,6,Williams,British,10,0
2006,5,7,Toyota,Japanese,7,0
2006,5,8,Red Bull,Austrian,2,0
2006,5,9,Toro Rosso,Italian,0,0
2006,5,10,MF1,Russian,0,0
2006,5,11,Super Aguri,Japanese,0,0
2006,4,1,Renault,French,51,3
2006,4,2,McLaren,British,33,0
2006,4,3,Ferrari,Italian,30,1
2006,4,4,Honda,Japanese,15,0
2006,4,5,BMW Sauber,German,10,0
2006,4,6,Williams,British,8,0
2006,4,7,Toyota,Japanese,7,0
2006,4,8,Red Bull,Austrian,2,0
2006,4,9,Toro Rosso,Italian,0,0
2006,4,10,MF1,Russian,0,0
2006,4,11,Super Aguri,Japanese,0,0
2006,3,1,Renault,French,42,3
2006,3,2,McLaren,British,23,0
2006,3,3,Ferrari,Italian,15,0
2006,3,4,Honda,Japanese,13,0
2006,3,5,BMW Sauber,German,10,0
2006,3,6,Toyota,Japanese,7,0
2006,3,7,Williams,British,5,0
2006,3,8,Red Bull,Austrian,2,0
2006,3,9,Toro Rosso,Italian,0,0
2006,3,10,MF1,Russian,0,0
2006,3,11,Super Aguri,Japanese,0,0
2007,15,1,Ferrari,Italian,170,7
2007,15,2,BMW Sauber,German,92,0
2007,15,3,Renault,French,51,0
2007,15,4,Williams,British,28,0
2007,15,5,Red Bull,Austrian,23,0
2007,15,6,Toyota,Japanese,12,0
2007,15,7,Super Aguri,Japanese,4,0
2007,15,8,Honda,Japanese,2,0
2007,15,9,Spyker,Dutch,1,0
2007,15,10,Toro Rosso,Italian,0,0
2007,15,11,McLaren,British,202,8
2007,12,1,Ferrari,Italian,137,6
2007,12,2,BMW Sauber,German,77,0
2007,12,3,Renault,French,36,0
2007,12,4,Williams,British,22,0
2007,12,5,Red Bull,Austrian,16,0
2007,12,6,Toyota,Japanese,12,0
2007,12,7,Super Aguri,Japanese,4,0
2007,12,8,Honda,Japanese,1,0
2007,12,9,Toro Rosso,Italian,0,0
2007,12,10,Spyker,Dutch,0,0
2007,12,11,McLaren,British,148,6
2007,13,1,Ferrari,Italian,143,6
2007,13,2,BMW Sauber,German,86,0
2007,13,3,Renault,French,38,0
2007,13,4,Williams,British,25,0
2007,13,5,Red Bull,Austrian,16,0
2007,13,6,Toyota,Japanese,12,0
2007,13,7,Super Aguri,Japanese,4,0
2007,13,8,Honda,Japanese,2,0
2007,13,9,Toro Rosso,Italian,0,0
2007,13,10,Spyker,Dutch,0,0
2007,13,11,McLaren,British,166,7
2007,14,1,Ferrari,Italian,161,7
2007,14,2,BMW Sauber,German,90,0
2007,14,3,Renault,French,39,0
2007,14,4,Williams,British,28,0
2007,14,5,Red Bull,Austrian,18,0
2007,14,6,Toyota,Japanese,12,0
2007,14,7,Super Aguri,Japanese,4,0
2007,14,8,Honda,Japanese,2,0
2007,14,9,Toro Rosso,Italian,0,0
2007,14,10,Spyker,Dutch,0,0
2007,14,11,McLaren,British,192,7
2007,8,1,Ferrari,Italian,89,4
2007,8,2,BMW Sauber,German,48,0
2007,8,3,Renault,French,28,0
2007,8,4,Williams,British,13,0
2007,8,5,Toyota,Japanese,9,0
2007,8,6,Red Bull,Austrian,6,0
2007,8,7,Super Aguri,Japanese,4,0
2007,8,8,Honda,Japanese,1,0
2007,8,9,Toro Rosso,Italian,0,0
2007,8,10,Spyker,Dutch,0,0
2007,8,11,McLaren,British,114,4
2007,6,1,Ferrari,Italian,60,3
2007,6,2,BMW Sauber,German,38,0
2007,6,3,Renault,French,21,0
2007,6,4,Williams,British,13,0
2007,6,5,Toyota,Japanese,6,0
2007,6,6,Red Bull,Austrian,4,0
2007,6,7,Super Aguri,Japanese,4,0
2007,6,8,Toro Rosso,Italian,0,0
2007,6,9,Honda,Japanese,0,0
2007,6,10,Spyker,Dutch,0,0
2007,6,11,McLaren,British,88,3
2007,1,1,Ferrari,Italian,13,1
2007,1,2,BMW Sauber,German,5,0
2007,1,3,Renault,French,4,0
2007,1,4,Williams,British,2,0
2007,1,5,Toyota,Japanese,1,0
2007,1,6,Honda,Japanese,0,0
2007,1,7,Super Aguri,Japanese,0,0
2007,1,8,Red Bull,Austrian,0,0
2007,1,9,Toro Rosso,Italian,0,0
2007,1,10,Spyker,Dutch,0,0
2007,1,11,McLaren,British,14,0
2007,7,1,Ferrari,Italian,71,3
2007,7,2,BMW Sauber,German,39,0
2007,7,3,Renault,French,25,0
2007,7,4,Williams,British,13,0
2007,7,5,Toyota,Japanese,9,0
2007,7,6,Red Bull,Austrian,6,0
2007,7,7,Super Aguri,Japanese,4,0
2007,7,8,Toro Rosso,Italian,0,0
2007,7,9,Honda,Japanese,0,0
2007,7,10,Spyker,Dutch,0,0
2007,7,11,McLaren,British,106,4
2007,9,1,Ferrari,Italian,103,5
2007,9,2,BMW Sauber,German,56,0
2007,9,3,Renault,French,31,0
2007,9,4,Williams,British,13,0
2007,9,5,Toyota,Japanese,9,0
2007,9,6,Red Bull,Austrian,6,0
2007,9,7,Super Aguri,Japanese,4,0
2007,9,8,Honda,Japanese,1,0
2007,9,9,Toro Rosso,Italian,0,0
2007,9,10,Spyker,Dutch,0,0
2007,9,11,McLaren,British,128,5
2007,11,1,Ferrari,Italian,119,5
2007,11,2,BMW Sauber,German,71,0
2007,11,3,Renault,French,33,0
2007,11,4,Williams,British,20,0
2007,11,5,Red Bull,Austrian,16,0
2007,11,6,Toyota,Japanese,12,0
2007,11,7,Super Aguri,Japanese,4,0
2007,11,8,Honda,Japanese,1,0
2007,11,9,Toro Rosso,Italian,0,0
2007,11,10,Spyker,Dutch,0,0
2007,11,11,McLaren,British,138,6
2007,16,1,Ferrari,Italian,186,8
2007,16,2,BMW Sauber,German,94,0
2007,16,3,Renault,French,51,0
2007,16,4,Williams,British,28,0
2007,16,5,Red Bull,Austrian,24,0
2007,16,6,Toyota,Japanese,12,0
2007,16,7,Toro Rosso,Italian,8,0
2007,16,8,Honda,Japanese,6,0
2007,16,9,Super Aguri,Japanese,4,0
2007,16,10,Spyker,Dutch,1,0
2007,16,11,McLaren,British,210,8
2007,17,1,Ferrari,Italian,204,9
2007,17,2,BMW Sauber,German,101,0
2007,17,3,Renault,French,51,0
2007,17,4,Williams,British,33,0
2007,17,5,Red Bull,Austrian,24,0
2007,17,6,Toyota,Japanese,13,0
2007,17,7,Toro Rosso,Italian,8,0
2007,17,8,Honda,Japanese,6,0
2007,17,9,Super Aguri,Japanese,4,0
2007,17,10,Spyker,Dutch,1,0
2007,17,11,McLaren,British,218,8
2007,10,1,Ferrari,Italian,111,5
2007,10,2,BMW Sauber,German,61,0
2007,10,3,Renault,French,32,0
2007,10,4,Williams,British,18,0
2007,10,5,Red Bull,Austrian,16,0
2007,10,6,Toyota,Japanese,9,0
2007,10,7,Super Aguri,Japanese,4,0
2007,10,8,Honda,Japanese,1,0
2007,10,9,Toro Rosso,Italian,0,0
2007,10,10,Spyker,Dutch,0,0
2007,10,11,McLaren,British,138,5
2007,2,1,Ferrari,Italian,23,1
2007,2,2,BMW Sauber,German,10,0
2007,2,3,Renault,French,8,0
2007,2,4,Toyota,Japanese,3,0
2007,2,5,Williams,British,2,0
2007,2,6,Red Bull,Austrian,0,0
2007,2,7,Honda,Japanese,0,0
2007,2,8,Super Aguri,Japanese,0,0
2007,2,9,Toro Rosso,Italian,0,0
2007,2,10,Spyker,Dutch,0,0
2007,2,11,McLaren,British,32,1
2007,5,1,Ferrari,Italian,56,3
2007,5,2,BMW Sauber,German,30,0
2007,5,3,Renault,French,16,0
2007,5,4,Williams,British,7,0
2007,5,5,Toyota,Japanese,5,0
2007,5,6,Red Bull,Austrian,4,0
2007,5,7,Super Aguri,Japanese,1,0
2007,5,8,Toro Rosso,Italian,0,0
2007,5,9,Honda,Japanese,0,0
2007,5,10,Spyker,Dutch,0,0
2007,5,11,McLaren,British,76,2
2007,4,1,Ferrari,Italian,49,3
2007,4,2,BMW Sauber,German,23,0
2007,4,3,Renault,French,11,0
2007,4,4,Williams,British,5,0
2007,4,5,Toyota,Japanese,5,0
2007,4,6,Red Bull,Austrian,4,0
2007,4,7,Super Aguri,Japanese,1,0
2007,4,8,Honda,Japanese,0,0
2007,4,9,Spyker,Dutch,0,0
2007,4,10,Toro Rosso,Italian,0,0
2007,4,11,McLaren,British,58,1
2007,3,1,Ferrari,Italian,39,2
2007,3,2,BMW Sauber,German,18,0
2007,3,3,Renault,French,9,0
2007,3,4,Toyota,Japanese,5,0
2007,3,5,Williams,British,2,0
2007,3,6,Red Bull,Austrian,0,0
2007,3,7,Honda,Japanese,0,0
2007,3,8,Super Aguri,Japanese,0,0
2007,3,9,Toro Rosso,Italian,0,0
2007,3,10,Spyker,Dutch,0,0
2007,3,11,McLaren,British,44,1
2000,15,1,Ferrari,Italian,143,8
2000,15,2,McLaren,British,143,7
2000,15,3,Williams,British,34,0
2000,15,4,Benetton,Italian,20,0
2000,15,5,Jordan,Irish,17,0
2000,15,6,BAR,British,17,0
2000,15,7,Arrows,British,7,0
2000,15,8,Sauber,Swiss,6,0
2000,15,9,Jaguar,British,3,0
2000,15,10,Minardi,Italian,0,0
2000,15,11,Prost,French,0,0
2000,12,1,McLaren,British,122,6
2000,12,2,Ferrari,Italian,111,6
2000,12,3,Williams,British,24,0
2000,12,4,Benetton,Italian,18,0
2000,12,5,Jordan,Irish,12,0
2000,12,6,BAR,British,12,0
2000,12,7,Sauber,Swiss,6,0
2000,12,8,Arrows,British,4,0
2000,12,9,Jaguar,British,3,0
2000,12,10,Minardi,Italian,0,0
2000,12,11,Prost,French,0,0
2000,13,1,McLaren,British,135,7
2000,13,2,Ferrari,Italian,117,6
2000,13,3,Williams,British,30,0
2000,13,4,Benetton,Italian,18,0
2000,13,5,Jordan,Irish,13,0
2000,13,6,BAR,British,12,0
2000,13,7,Sauber,Swiss,6,0
2000,13,8,Arrows,British,4,0
2000,13,9,Jaguar,British,3,0
2000,13,10,Minardi,Italian,0,0
2000,13,11,Prost,French,0,0
2000,14,1,McLaren,British,141,7
2000,14,2,Ferrari,Italian,127,7
2000,14,3,Williams,British,34,0
2000,14,4,Benetton,Italian,20,0
2000,14,5,Jordan,Irish,13,0
2000,14,6,BAR,British,13,0
2000,14,7,Arrows,British,7,0
2000,14,8,Sauber,Swiss,6,0
2000,14,9,Jaguar,British,3,0
2000,14,10,Minardi,Italian,0,0
2000,14,11,Prost,French,0,0
2000,8,1,Ferrari,Italian,84,5
2000,8,2,McLaren,British,66,3
2000,8,3,Benetton,Italian,18,0
2000,8,4,Williams,British,15,0
2000,8,5,Jordan,Irish,10,0
2000,8,6,BAR,British,6,0
2000,8,7,Jaguar,British,3,0
2000,8,8,Sauber,Swiss,3,0
2000,8,9,Arrows,British,3,0
2000,8,10,Minardi,Italian,0,0
2000,8,11,Prost,French,0,0
2000,6,1,Ferrari,Italian,62,4
2000,6,2,McLaren,British,52,2
2000,6,3,Williams,British,15,0
2000,6,4,Benetton,Italian,10,0
2000,6,5,Jordan,Irish,9,0
2000,6,6,BAR,British,6,0
2000,6,7,Sauber,Swiss,1,0
2000,6,8,Arrows,British,1,0
2000,6,9,Jaguar,British,0,0
2000,6,10,Minardi,Italian,0,0
2000,6,11,Prost,French,0,0
2000,1,1,Ferrari,Italian,16,1
2000,1,2,Williams,British,4,0
2000,1,3,BAR,British,4,0
2000,1,4,Benetton,Italian,2,0
2000,1,5,Minardi,Italian,0,0
2000,1,6,Prost,French,0,0
2000,7,1,Ferrari,Italian,68,4
2000,7,2,McLaren,British,63,3
2000,7,3,Williams,British,15,0
2000,7,4,Benetton,Italian,14,0
2000,7,5,Jordan,Irish,9,0
2000,7,6,BAR,British,6,0
2000,7,7,Jaguar,British,3,0
2000,7,8,Sauber,Swiss,3,0
2000,7,9,Arrows,British,1,0
2000,7,10,Minardi,Italian,0,0
2000,7,11,Prost,French,0,0
2000,9,1,Ferrari,Italian,88,5
2000,9,2,McLaren,British,82,4
2000,9,3,Benetton,Italian,18,0
2000,9,4,Williams,British,17,0
2000,9,5,Jordan,Irish,11,0
2000,9,6,BAR,British,9,0
2000,9,7,Jaguar,British,3,0
2000,9,8,Sauber,Swiss,3,0
2000,9,9,Arrows,British,3,0
2000,9,10,Minardi,Italian,0,0
2000,9,11,Prost,French,0,0
2000,11,1,McLaren,British,108,5
2000,11,2,Ferrari,Italian,102,6
2000,11,3,Williams,British,22,0
2000,11,4,Benetton,Italian,18,0
2000,11,5,BAR,British,12,0
2000,11,6,Jordan,Irish,11,0
2000,11,7,Sauber,Swiss,6,0
2000,11,8,Arrows,British,4,0
2000,11,9,Jaguar,British,3,0
2000,11,10,Minardi,Italian,0,0
2000,11,11,Prost,French,0,0
2000,16,1,Ferrari,Italian,156,9
2000,16,2,McLaren,British,153,7
2000,16,3,Williams,British,36,0
2000,16,4,Benetton,Italian,20,0
2000,16,5,BAR,British,18,0
2000,16,6,Jordan,Irish,17,0
2000,16,7,Arrows,British,7,0
2000,16,8,Sauber,Swiss,6,0
2000,16,9,Jaguar,British,3,0
2000,16,10,Minardi,Italian,0,0
2000,16,11,Prost,French,0,0
2000,17,1,Ferrari,Italian,170,10
2000,17,2,McLaren,British,162,7
2000,17,3,Williams,British,36,0
2000,17,4,Benetton,Italian,20,0
2000,17,5,BAR,British,20,0
2000,17,6,Jordan,Irish,17,0
2000,17,7,Arrows,British,7,0
2000,17,8,Sauber,Swiss,6,0
2000,17,9,Jaguar,British,4,0
2000,17,10,Minardi,Italian,0,0
2000,17,11,Prost,French,0,0
2000,10,1,McLaren,British,98,5
2000,10,2,Ferrari,Italian,92,5
2000,10,3,Williams,British,19,0
2000,10,4,Benetton,Italian,18,0
2000,10,5,BAR,British,12,0
2000,10,6,Jordan,Irish,11,0
2000,10,7,Sauber,Swiss,4,0
2000,10,8,Jaguar,British,3,0
2000,10,9,Arrows,British,3,0
2000,10,10,Minardi,Italian,0,0
2000,10,11,Prost,French,0,0
2000,2,1,Ferrari,Italian,26,2
2000,2,2,Benetton,Italian,8,0
2000,2,3,Jordan,Irish,7,0
2000,2,4,Williams,British,7,0
2000,2,5,BAR,British,4,0
2000,2,6,Arrows,British,0,0
2000,2,7,Minardi,Italian,0,0
2000,2,8,Prost,French,0,0
2000,5,1,Ferrari,Italian,49,3
2000,5,2,McLaren,British,42,2
2000,5,3,Williams,British,15,0
2000,5,4,Jordan,Irish,9,0
2000,5,5,Benetton,Italian,8,0
2000,5,6,BAR,British,6,0
2000,5,7,Sauber,Swiss,1,0
2000,5,8,Arrows,British,0,0
2000,5,9,Jaguar,British,0,0
2000,5,10,Minardi,Italian,0,0
2000,5,11,Prost,French,0,0
2000,4,1,Ferrari,Italian,43,3
2000,4,2,McLaren,British,26,1
2000,4,3,Williams,British,12,0
2000,4,4,Benetton,Italian,8,0
2000,4,5,Jordan,Irish,8,0
2000,4,6,BAR,British,6,0
2000,4,7,Sauber,Swiss,1,0
2000,4,8,Arrows,British,0,0
2000,4,9,Jaguar,British,0,0
2000,4,10,Minardi,Italian,0,0
2000,4,11,Prost,French,0,0
2000,3,1,Ferrari,Italian,39,3
2000,3,2,McLaren,British,10,0
2000,3,3,Benetton,Italian,8,0
2000,3,4,Jordan,Irish,7,0
2000,3,5,Williams,British,7,0
2000,3,6,BAR,British,6,0
2000,3,7,Sauber,Swiss,1,0
2000,3,8,Arrows,British,0,0
2000,3,9,Jaguar,British,0,0
2000,3,10,Minardi,Italian,0,0
2000,3,11,Prost,French,0,0
2009,15,1,Brawn,British,156,8
2009,15,2,Red Bull,Austrian,120.5,4
2009,15,3,Ferrari,Italian,67,1
2009,15,4,McLaren,British,65,2
2009,15,5,Toyota,Japanese,54.5,0
2009,15,6,Williams,British,34.5,0
2009,15,7,Renault,French,26,0
2009,15,8,BMW Sauber,German,24,0
2009,15,9,Force India,Indian,13,0
2009,15,10,Toro Rosso,Italian,5,0
2009,12,1,Brawn,British,128,7
2009,12,2,Red Bull,Austrian,104.5,3
2009,12,3,Ferrari,Italian,56,1
2009,12,4,McLaren,British,44,1
2009,12,5,Toyota,Japanese,38.5,0
2009,12,6,Williams,British,30.5,0
2009,12,7,BMW Sauber,German,18,0
2009,12,8,Renault,French,16,0
2009,12,9,Force India,Indian,8,0
2009,12,10,Toro Rosso,Italian,5,0
2009,13,1,Brawn,British,146,8
2009,13,2,Red Bull,Austrian,105.5,3
2009,13,3,Ferrari,Italian,62,1
2009,13,4,McLaren,British,47,1
2009,13,5,Toyota,Japanese,38.5,0
2009,13,6,Williams,British,30.5,0
2009,13,7,BMW Sauber,German,20,0
2009,13,8,Renault,French,20,0
2009,13,9,Force India,Indian,13,0
2009,13,10,Toro Rosso,Italian,5,0
2009,14,1,Brawn,British,153,8
2009,14,2,Red Bull,Austrian,110.5,3
2009,14,3,Ferrari,Italian,62,1
2009,14,4,McLaren,British,59,2
2009,14,5,Toyota,Japanese,46.5,0
2009,14,6,Williams,British,30.5,0
2009,14,7,Renault,French,26,0
2009,14,8,BMW Sauber,German,21,0
2009,14,9,Force India,Indian,13,0
2009,14,10,Toro Rosso,Italian,5,0
2009,8,1,Brawn,British,105,6
2009,8,2,Red Bull,Austrian,74.5,2
2009,8,3,Toyota,Japanese,34.5,0
2009,8,4,Ferrari,Italian,26,0
2009,8,5,Williams,British,15.5,0
2009,8,6,McLaren,British,13,0
2009,8,7,Renault,French,11,0
2009,8,8,BMW Sauber,German,8,0
2009,8,9,Toro Rosso,Italian,5,0
2009,8,10,Force India,Indian,0,0
2009,6,1,Brawn,British,86,5
2009,6,2,Red Bull,Austrian,42.5,1
2009,6,3,Toyota,Japanese,26.5,0
2009,6,4,Ferrari,Italian,17,0
2009,6,5,McLaren,British,13,0
2009,6,6,Renault,French,11,0
2009,6,7,Williams,British,7.5,0
2009,6,8,BMW Sauber,German,6,0
2009,6,9,Toro Rosso,Italian,5,0
2009,6,10,Force India,Indian,0,0
2009,1,1,Brawn,British,18,1
2009,1,2,Toyota,Japanese,11,0
2009,1,3,Renault,French,4,0
2009,1,4,Williams,British,3,0
2009,1,5,Toro Rosso,Italian,3,0
2009,1,6,Force India,Indian,0,0
2009,1,7,BMW Sauber,German,0,0
2009,1,8,Red Bull,Austrian,0,0
2009,1,9,Ferrari,Italian,0,0
2009,7,1,Brawn,British,96,6
2009,7,2,Red Bull,Austrian,56.5,1
2009,7,3,Toyota,Japanese,32.5,0
2009,7,4,Ferrari,Italian,20,0
2009,7,5,McLaren,British,13,0
2009,7,6,Williams,British,11.5,0
2009,7,7,Renault,French,11,0
2009,7,8,BMW Sauber,German,8,0
2009,7,9,Toro Rosso,Italian,5,0
2009,7,10,Force India,Indian,0,0
2009,9,1,Brawn,British,112,6
2009,9,2,Red Bull,Austrian,92.5,3
2009,9,3,Toyota,Japanese,34.5,0
2009,9,4,Ferrari,Italian,32,0
2009,9,5,Williams,British,20.5,0
2009,9,6,McLaren,British,14,0
2009,9,7,Renault,French,13,0
2009,9,8,BMW Sauber,German,8,0
2009,9,9,Toro Rosso,Italian,5,0
2009,9,10,Force India,Indian,0,0
2009,11,1,Brawn,British,126,7
2009,11,2,Red Bull,Austrian,98.5,3
2009,11,3,Ferrari,Italian,46,0
2009,11,4,McLaren,British,41,1
2009,11,5,Toyota,Japanese,38.5,0
2009,11,6,Williams,British,29.5,0
2009,11,7,Renault,French,16,0
2009,11,8,BMW Sauber,German,9,0
2009,11,9,Toro Rosso,Italian,5,0
2009,11,10,Force India,Indian,0,0
2009,16,1,Brawn,British,161,8
2009,16,2,Red Bull,Austrian,135.5,5
2009,16,3,McLaren,British,71,2
2009,16,4,Ferrari,Italian,70,1
2009,16,5,Toyota,Japanese,54.5,0
2009,16,6,Williams,British,34.5,0
2009,16,7,BMW Sauber,German,32,0
2009,16,8,Renault,French,26,0
2009,16,9,Force India,Indian,13,0
2009,16,10,Toro Rosso,Italian,7,0
2009,17,1,Brawn,British,172,8
2009,17,2,Red Bull,Austrian,153.5,6
2009,17,3,McLaren,British,71,2
2009,17,4,Ferrari,Italian,70,1
2009,17,5,Toyota,Japanese,59.5,0
2009,17,6,BMW Sauber,German,36,0
2009,17,7,Williams,British,34.5,0
2009,17,8,Renault,French,26,0
2009,17,9,Force India,Indian,13,0
2009,17,10,Toro Rosso,Italian,8,0
2009,10,1,Brawn,British,114,6
2009,10,2,Red Bull,Austrian,98.5,3
2009,10,3,Ferrari,Italian,40,0
2009,10,4,Toyota,Japanese,38.5,0
2009,10,5,McLaren,British,28,1
2009,10,6,Williams,British,25.5,0
2009,10,7,Renault,French,13,0
2009,10,8,BMW Sauber,German,8,0
2009,10,9,Toro Rosso,Italian,5,0
2009,10,10,Force India,Indian,0,0
2009,2,1,Brawn,British,25,2
2009,2,2,Toyota,Japanese,16.5,0
2009,2,3,BMW Sauber,German,4,0
2009,2,4,Renault,French,4,0
2009,2,5,Williams,British,3.5,0
2009,2,6,Toro Rosso,Italian,3,0
2009,2,7,Red Bull,Austrian,1.5,0
2009,2,8,McLaren,British,1,0
2009,2,9,Force India,Indian,0,0
2009,2,10,Ferrari,Italian,0,0
2009,5,1,Brawn,British,68,4
2009,5,2,Red Bull,Austrian,38.5,1
2009,5,3,Toyota,Japanese,26.5,0
2009,5,4,McLaren,British,13,0
2009,5,5,Renault,French,9,0
2009,5,6,BMW Sauber,German,6,0
2009,5,7,Ferrari,Italian,6,0
2009,5,8,Williams,British,4.5,0
2009,5,9,Toro Rosso,Italian,4,0
2009,5,10,Force India,Indian,0,0
2009,4,1,Brawn,British,50,3
2009,4,2,Red Bull,Austrian,27.5,1
2009,4,3,Toyota,Japanese,26.5,0
2009,4,4,McLaren,British,13,0
2009,4,5,Renault,French,5,0
2009,4,6,BMW Sauber,German,4,0
2009,4,7,Toro Rosso,Italian,4,0
2009,4,8,Williams,British,3.5,0
2009,4,9,Ferrari,Italian,3,0
2009,4,10,Force India,Indian,0,0
2009,3,1,Brawn,British,36,2
2009,3,2,Red Bull,Austrian,19.5,1
2009,3,3,Toyota,Japanese,18.5,0
2009,3,4,McLaren,British,8,0
2009,3,5,BMW Sauber,German,4,0
2009,3,6,Renault,French,4,0
2009,3,7,Toro Rosso,Italian,4,0
2009,3,8,Williams,British,3.5,0
2009,3,9,Ferrari,Italian,0,0
2009,3,10,Force India,Indian,0,0
2017,15,1,Mercedes,German,503,9
2017,15,2,Ferrari,Italian,385,4
2017,15,3,Red Bull,Austrian,270,2
2017,15,4,Force India,Indian,133,0
2017,15,5,Williams,British,65,0
2017,15,6,Toro Rosso,Italian,52,0
2017,15,7,Renault,French,42,0
2017,15,8,Haas F1 Team,American,37,0
2017,15,9,McLaren,British,23,0
2017,15,10,Sauber,Swiss,5,0
2017,12,1,Mercedes,German,392,7
2017,12,2,Ferrari,Italian,348,4
2017,12,3,Red Bull,Austrian,199,1
2017,12,4,Force India,Indian,103,0
2017,12,5,Williams,British,45,0
2017,12,6,Toro Rosso,Italian,40,0
2017,12,7,Haas F1 Team,American,35,0
2017,12,8,Renault,French,34,0
2017,12,9,McLaren,British,11,0
2017,12,10,Sauber,Swiss,5,0
2017,13,1,Mercedes,German,435,8
2017,13,2,Ferrari,Italian,373,4
2017,13,3,Red Bull,Austrian,212,1
2017,13,4,Force India,Indian,113,0
2017,13,5,Williams,British,55,0
2017,13,6,Toro Rosso,Italian,40,0
2017,13,7,Haas F1 Team,American,35,0
2017,13,8,Renault,French,34,0
2017,13,9,McLaren,British,11,0
2017,13,10,Sauber,Swiss,5,0
2017,14,1,Mercedes,German,475,9
2017,14,2,Ferrari,Italian,373,4
2017,14,3,Red Bull,Austrian,230,1
2017,14,4,Force India,Indian,124,0
2017,14,5,Williams,British,59,0
2017,14,6,Toro Rosso,Italian,52,0
2017,14,7,Renault,French,42,0
2017,14,8,Haas F1 Team,American,37,0
2017,14,9,McLaren,British,17,0
2017,14,10,Sauber,Swiss,5,0
2017,8,1,Mercedes,German,250,4
2017,8,2,Ferrari,Italian,226,3
2017,8,3,Red Bull,Austrian,137,1
2017,8,4,Force India,Indian,79,0
2017,8,5,Williams,British,37,0
2017,8,6,Toro Rosso,Italian,33,0
2017,8,7,Haas F1 Team,American,21,0
2017,8,8,Renault,French,18,0
2017,8,9,Sauber,Swiss,5,0
2017,8,10,McLaren,British,2,0
2017,6,1,Ferrari,Italian,196,3
2017,6,2,Mercedes,German,179,3
2017,6,3,Red Bull,Austrian,97,0
2017,6,4,Force India,Indian,53,0
2017,6,5,Toro Rosso,Italian,29,0
2017,6,6,Williams,British,20,0
2017,6,7,Renault,French,14,0
2017,6,8,Haas F1 Team,American,14,0
2017,6,9,Sauber,Swiss,4,0
2017,6,10,McLaren,British,0,0
2017,1,1,Ferrari,Italian,37,1
2017,1,2,Mercedes,German,33,0
2017,1,3,Red Bull,Austrian,10,0
2017,1,4,Williams,British,8,0
2017,1,5,Force India,Indian,7,0
2017,1,6,Toro Rosso,Italian,6,0
2017,1,7,Renault,French,0,0
2017,1,8,Sauber,Swiss,0,0
2017,1,9,McLaren,British,0,0
2017,1,10,Haas F1 Team,American,0,0
2017,7,1,Mercedes,German,222,4
2017,7,2,Ferrari,Italian,214,3
2017,7,3,Red Bull,Austrian,112,0
2017,7,4,Force India,Indian,71,0
2017,7,5,Toro Rosso,Italian,29,0
2017,7,6,Williams,British,22,0
2017,7,7,Renault,French,18,0
2017,7,8,Haas F1 Team,American,15,0
2017,7,9,Sauber,Swiss,4,0
2017,7,10,McLaren,British,0,0
2017,9,1,Mercedes,German,287,5
2017,9,2,Ferrari,Italian,254,3
2017,9,3,Red Bull,Austrian,152,1
2017,9,4,Force India,Indian,89,0
2017,9,5,Williams,British,40,0
2017,9,6,Toro Rosso,Italian,33,0
2017,9,7,Haas F1 Team,American,29,0
2017,9,8,Renault,French,18,0
2017,9,9,Sauber,Swiss,5,0
2017,9,10,McLaren,British,2,0
2017,20,1,Mercedes,German,668,12
2017,20,2,Ferrari,Italian,522,5
2017,20,3,Red Bull,Austrian,368,3
2017,20,4,Force India,Indian,187,0
2017,20,5,Williams,British,83,0
2017,20,6,Renault,French,57,0
2017,20,7,Toro Rosso,Italian,53,0
2017,20,8,Haas F1 Team,American,47,0
2017,20,9,McLaren,British,30,0
2017,20,10,Sauber,Swiss,5,0
2017,18,1,Mercedes,German,595,11
2017,18,2,Ferrari,Italian,455,4
2017,18,3,Red Bull,Austrian,340,3
2017,18,4,Force India,Indian,175,0
2017,18,5,Williams,British,76,0
2017,18,6,Toro Rosso,Italian,53,0
2017,18,7,Renault,French,48,0
2017,18,8,Haas F1 Team,American,47,0
2017,18,9,McLaren,British,24,0
2017,18,10,Sauber,Swiss,5,0
2017,11,1,Mercedes,German,357,6
2017,11,2,Ferrari,Italian,318,4
2017,11,3,Red Bull,Austrian,184,1
2017,11,4,Force India,Indian,101,0
2017,11,5,Williams,British,41,0
2017,11,6,Toro Rosso,Italian,39,0
2017,11,7,Haas F1 Team,American,29,0
2017,11,8,Renault,French,26,0
2017,11,9,McLaren,British,11,0
2017,11,10,Sauber,Swiss,5,0
2017,16,1,Mercedes,German,540,10
2017,16,2,Ferrari,Italian,395,4
2017,16,3,Red Bull,Austrian,303,2
